"PID","Year_of_Publication","Journal","Title","Publication_Link","Summary","Focus"
11,2019,Science,Temporal patterning of apical progenitors and their daughter neurons in the developing neocortex,https://doi.org/10.1126/science.aav2522,"During the development of the cerebral cortex, different subtypes of glutamategic neurons from the precursor cells that change automatically are generated and differentiated in turn. However, how precursor cells and their progeny cells are patterned in time remains unknown. This study used high-temporal resolution single-cell RNA sequencing to track the transcriptional trajectories of successive generations of apical precursor cells (APs) and their contemporary progeny neurons in the mouse neocortex. The study identified and functionally characterized a set of evolutionarily conserved temporal pattern genes that drive APs to transition from an intrinsic drive to a more externally sensitive state, revealing that the role of extracellular signals gradually increases during cortical generation. These embryonic-dependent APs molecular states manifest as continuous basal states in their neuronal progeny, essentially retaining early post-mitotic differentiation procedures. Thus, the molecular markers that unfold over time in precursor cells act as seeds of adult neuronal diversity in the progeny after which they are mitotic.",Development
12,2020,Cell,A molecular calcium integrator reveals a striatal cell-type driving aversion,https://doi.org/10.1016/j.cell.2020.11.028,"A molecular technique called FLiCRE (Fast Light and Calcium-Regulated Expression) was developed to stably label cells activated when the intracellular calcium concentration increases. The researchers used FLiCRE in the nucleus accumbens of the mouse brain to transcriptionally mark populations of neurons activated under aversion input stimulation. FLiCRE transcripts were detected by single-cell RNA sequencing, and information on cell type and calcium activation history was obtained simultaneously. A type of nucleus accumbens activated under long-range excitatory projection was identified. Using the modular design of FLiCRE, the researchers selectively expressed optogenetic channels in this cell type and found that direct activation of this originally genetically out of reach of cells triggers behavioral aversion",Fast Light and Calcium-Regulated Expression
13,2020,Nature Methods,Augur: cell type prioritization for single-cell transcriptomics data,https://doi.org/10.1038/s41592-020-0820-2,"This study presents Augur, a machine learning-based method for prioritizing the identification of cell types that respond most strongly to bioturbation in high-dimensional single-cell data.Augur can be applied to multimodal applications such as single-cell RNA-seq, chromatin accessibility (scATAC-seq), and imaging transcriptomics data. The study characterized the response of more than 20,000 nuclei in the spinal cord by nerve stimulation (TESS) in spinal cord-injured mice and restoration of gait after administration of 5-HT1a and D1 agonists, combined with single-cell RNA-seq to identify 38 different neuronal subtypes, and Augur was used to pinpoint cell populations that were the most responsive to the intervention.",cell types
14,2020,Nature,Design logic of hypothalamus development mapped by single-cell RNA-seq,https://doi.org/10.1038/s41586-020-2226-0,"In this study, the developmental process of the mouse hypothalamus was systematically analyzed by single-cell RNA sequencing. The research team reconstructed the branching trajectories of neurogenesis and revealed the developmental roadmap and transcriptional programs of different cell types during hypothalamus formation. The study collected data from embryonic day 10 (E10) to the postnatal stage, and found that hypothalamus development relies on a set of “design logic”: cellular identity is determined by spatial location, temporal windows, and transcriptional regulatory networks. The results provide an important reference for understanding how centrally regulated regions of the brain develop and become multifunctional.",Development
15,2020,Cell,Single-cell analysis of neuroinflammatory responses following intracranial injection of G-deleted rabies viruses,https://doi.org/10.1016/j.cell.2019.12.023,"In this study, we systematically evaluated the neuroinflammatory response in the mouse brain following injection of G-deficient rabies viruses (ΔG-Rabies) by **single-cell RNA sequencing (scRNA-seq)**. ΔG-rabies are commonly used in monosynaptic nerve tracing experiments, but their potential immune response is unclear. The study reveals: Viral injection induced specific innate immune activation, including microglia activation and upregulation of proinflammatory factors; Multiple cell types (e.g., astrocytes, oligodendrocytes) undergo transcriptional responses following viral injection; that the effects on the brain microenvironment differ at different time points and can be misinterpreted as neural connectivity-specific alterations. This study provides important insights into the interpretation and application of neuroviral tracer techniques.",Inflammation
16,2020,Cell Reports,Single-Cell Profiling and SCOPE-Seq Reveal Lineage Dynamics of Adult Ventricular-Subventricular Zone Neurogenesis and NOTUM as a Key Regulator,https://doi.org/10.1016/j.celrep.2020.107805,"In this study, cells in the ventricular-subventricular zone (V-SVZ) and the olfactory bulb (OB) of adult mice were analyzed by large-scale single-cell RNA sequencing and Scope-Seq (combining microscopic imaging and transcriptomic data) to trace neural stem cells and their lineage transition. Different genetic marker systems (hGFAP::CreERT2 and ratNes::FLPOER) were used to label the cell populations and revealed the key role of NOTUM as a neurogenic regulator, providing new insights into the mechanisms of adult neurogenesis.",other
17,2020,Nature Neuroscience,Spatiotemporal single-cell analysis of gene expression in the mouse suprachiasmatic nucleus,https://doi.org/10.1038/s41593-019-0411-5,"In this study, we systematically mapped the temporal and spatial distribution of gene expression in the mouse suprachiasmatic nucleus (SCN) using single-cell RNA sequencing.The SCN is the main central pacemaker of mammalian circadian rhythms, but its cell types and their regulatory mechanisms are not yet fully understood. Seven major cell types were found in the SCN, including neurons, astrocytes, ventricular membrane cells and endothelial cells, which showed distinct cell type-specific circadian expression. In addition, five neuronal subtypes (e.g., Avp⁺/Nms⁺, Vip⁺/Nms⁺, Cck⁺/Bdnf⁺, etc.) differed in their rhythmicity, photoresponsiveness, and spatial distribution. differences in rhythmicity, light responsiveness and spatial distribution. It was also found that circadian expression in the SCN showed fluctuations propagating from backward to forward, and that Avp⁺/Nms⁺ neurons may be the “dominant player” in this process.",cell types
18,2021,Nature Communications,A spatially resolved brain region- and cell type-specific isoform atlas of the postnatal mouse brain,https://doi.org/10.1038/s41467-020-20343-5,"Alternative RNA splicing varies across brain regions, but the single-cell resolution of such regional variation is unknown. Here we present the first single-cell investigation of differential isoform expression (DIE) between brain regions, by performing single cell long-read transcriptome sequencing in the mouse hippocampus and prefrontal cortex in 45 cell types at postnatal day 7. Using isoform tests for brain-region specific DIE, which outperform exon-based tests, we detect hundreds of brain-region specific DIE events traceable to specific cell-types. Many DIE events correspond to functionally distinct protein isoforms, some with just a 6-nucleotide exon variant. In most instances, one cell type is responsible for brain-region specific DIE. Cell types indigenous to only one anatomic structure display distinctive DIE, where for example, the choroid plexus epithelium manifest unique transcription start sites. However, for some genes, multiple cell-types are responsible for DIE in bulk data, indicating that regional identity can, although less frequently, override cell-type specificity. We validated our findings with spatial transcriptomics and long-read sequencing, yielding the first spatially resolved splicing map in the postnatal mouse brain (www.isoformAtlas.com). Our methods are highly generalizable. They provide a robust means of quantifying isoform expression with cell-type and spatial resolution, and reveal how the brain integrates molecular and cellular complexity to serve function.",differential isoform expression
19,2021,Cell,Differential encoding in prefrontal cortex projection neuron classes across cognitive tasks,https://doi.org/10.1016/j.cell.2020.11.046,"Single-cell transcriptomics has been widely applied to classify neurons in the mammalian brain, while systems neuroscience has historically analyzed the encoding properties of cortical neurons without considering cell types. Here we examine how specific transcriptomic types of mouse prefrontal cortex (PFC) projection neurons relate to axonal projections and encoding properties across multiple cognitive tasks. We found that most types projected to multiple targets, and most targets received projections from multiple types, except PFC→PAG (periaqueductal gray). By comparing Ca2+ activity of the molecularly homogeneous PFC→PAG type against two heterogeneous classes in several two-alternative choice tasks in freely moving mice, we found that all task-related signals assayed were qualitatively present in all examined classes. However, PAG-projecting neurons most potently encoded choice in cued tasks, whereas contralateral PFC-projecting neurons most potently encoded reward context in an uncued task. Thus, task signals are organized redundantly, but with clear quantitative biases across cells of specific molecular-anatomical characteristics.",cell types
20,2021,Acta Neuropathologica,Distinct amyloid-β and tau-associated microglia profiles in Alzheimer's disease,https://doi.org/10.1007/s00401-021-02263-w,"Alzheimer’s disease (AD) is the most prevalent form of dementia and is characterized by abnormal extracellular aggregates of amyloid-b and intraneuronal hyperphosphorylated, tau tangles and neuropil threads. Microglia, the tissue-resident macrophages of the central nervous system (CNS), are important for CNS homeostasis and implicated in AD pathology. In amyloid mouse models, a phagocytic/activated microglia phenotype has been identified. How increasing levels of amyloid-b and tau pathology affect human microglia transcriptional profiles is unknown. Here, we performed snRNAseq on 482,472 nuclei from non-demented control brains and AD brains containing only amyloid-b plaques or both amyloid-b plaques and tau pathology. Within the microglia population, distinct expression profiles were identified of which two were AD pathology-associated. The phagocytic/activated AD1-microglia population abundance strongly correlated with tissue amyloid-b load and localized to amyloid-b plaques. The AD2-microglia abundance strongly correlated with tissue phospho-tau load and these microglia were more abundant in samples with over tau pathology. This full characterization of human disease associated microglia phenotypes provides new insights in the pathophysiological role of microglia in AD and offers new targets for microglia-state-specific therapeutic strategies.",Alzheimer's disease
21,2021,Nature,Exercise plasma boosts memory and dampens brain inflammation via clusterin,https://doi.org/10.1038/s41586-021-04183-x,"We discovered “runner” plasma, collected from voluntarily running mice, infused into sedentary mice recapitulates the cellular and functional benefits of exercise on the adult brain. Importantly, runner plasma reduces baseline neuroinflammatory gene expression and experimentally induced brain inflammation. Plasma proteomic analysis revealed a striking increase in complement cascade inhibitors including clusterin (CLU), which is facilitating the anti-inflammatory effects of runner plasma. Intravenously injected CLU strongly binds to brain endothelial cells reducing their inflammatory gene expression in an acute model of brain inflammation and in Alzheimer’s disease model mice. These findings demonstrate the existence of anti-inflammatory “exercise factors” that are transferrable, target the cerebrovasculature and benefit the brain.",Inflammation
22,2021,Nature Methods,Joint single-cell measurements of nuclear proteins and RNA in vivo,https://doi.org/10.1038/s41592-021-01278-1,"Identifying gene-regulatory targets of nuclear proteins in tissues is a challenge. Here we describe intranuclear cellular indexing of transcriptomes and epitopes (inCITE-seq), a scalable method that measures multiplexed intranuclear protein levels and the transcriptome in parallel across thousands of nuclei, enabling joint analysis of transcription factor (TF) levels and gene expression in vivo. We apply inCITE-seq to characterize cell state-related changes upon pharmacological induction of neuronal activity in the mouse brain. Modeling gene expression as a linear combination of quantitative protein levels revealed genome-wide associations of each TF and recovered known gene targets. TF-associated genes were coexpressed as distinct modules that each reflected positive or negative TF levels, showing that our approach can disentangle relative putative contributions of TFs to gene expression and add interpretability to inferred gene networks. inCITE-seq can illuminate how combinations of nuclear proteins shape gene expression in native tissue contexts, with direct applications to solid or frozen tissues and clinical specimens.",other
23,2021,,,,,Development
24,2021,Development,scRNA sequencing uncovers a TCF4-dependent transcription factor network regulating commissure development in mouse,https://doi.org/10.1242/dev.196022,"The bHLH transcription factor TCF4 plays an important role in neurodevelopment highlighted by its association with schizophrenia and Pitt-Hopkins-Syndrome. Here we demonstrate that TCF4 function is essential for forebrain commissure formation in mice. Single-cell RNA sequencing of TCF4 knockout neocortices revealed dysregulation of multiple gene regulatory networks. We provide evidence that TCF4 controls the underlying regulons by interaction with the regulators, transcription factors surprisingly not belonging to the known canonical interactors of the bHLH family. In-depth analysis of the interplay between TCF4 and SOX11 showed a synergistic effect on commissural formation. Mice haploinsufficient for Sox11 or Tcf4 showed no commissural phenotype or only a mild callosal shortening, respectively, whereas Tcf4/Sox11 double haploinsufficient mice display aggravated corpus callosum dysgenesis and anterior commissure agenesis. Moreover, TCF4 and SOX11 synergistically induce the expression of common target genes. Collectively, these findings illuminate how TCF4 dysregulation influences brain development and contributes to neurodevelopmental diseases.",Development
25,2021,eLife,"Single-cell and single-nucleus RNA-seq uncovers shared and distinct axes of variation in dorsal LGN neurons in mice, non-human primates, and humans",https://doi.org/10.7554/elife.64875,"Abundant evidence supports the presence of at least three distinct types of thalamocortical (TC) neurons in the primate dorsal lateral geniculate nucleus (dLGN) of the thalamus, the brain region that conveys visual information from the retina to the primary visual cortex (V1). Different types of TC neurons in mice, humans, and macaques have distinct morphologies, distinct connectivity patterns, and convey different aspects of visual information to the cortex. To investigate the molecular underpinnings of these cell types, and how these relate to differences in dLGN between human, macaque, and mice, we profiled gene expression in single nuclei and cells using RNA-sequencing. These efforts identified four distinct types of TC neurons in the primate dLGN: magnocellular (M) neurons, parvocellular (P) neurons, and two types of koniocellular (K) neurons. Despite extensively documented morphological and physiological differences between M and P neurons, we identified few genes with significant differential expression between transcriptomic cell types corresponding to these two neuronal populations. Likewise, the dominant feature of TC neurons of the adult mouse dLGN is high transcriptomic similarity, with an axis of heterogeneity that aligns with core vs. shell portions of mouse dLGN. Together, these data show that transcriptomic differences between principal cell types in the mature mammalian dLGN are subtle relative to the observed differences in morphology and cortical projection targets. Finally, alignment of transcriptome profiles across species highlights expanded diversity of GABAergic neurons in primate versus mouse dLGN and homologous types of TC neurons in primates that are distinct from TC neurons in mouse.",cell types
26,2021,Brain,Single-cell sequencing of human midbrain reveals glial activation and a Parkinson-specific neuronal state,https://doi.org/10.1093/brain/awab446,"Idiopathic Parkinson’s disease is characterized by a progressive loss of dopaminergic neurons, but the exact disease aetiology remains largely unknown. To date, Parkinson’s disease research has mainly focused on nigral dopaminergic neurons, although recent studies suggest disease-related changes also in non-neuronal cells and in midbrain regions beyond the substantia nigra. While there is some evidence for glial involvement in Parkinson’s disease, the molecular mechanisms remain poorly understood. The aim of this study was to characterize the contribution of all cell types of the midbrain to Parkinson’s disease pathology by single-nuclei RNA sequencing and to assess the cell type-specific risk for Parkinson’s disease using the latest genome-wide association study.",Parkinson’s disease
27,2021,Nature Genetics,Single-cell type expression for AD PWAS-significant genes with evidence of causality in AD,https://doi.org/10.1038/s41588-020-00773-z,"Genome-wide association studies (GWAS) have identified many risk loci for Alzheimer’s disease (AD)1,2, but how these loci confer AD risk is unclear. Here, we aimed to identify loci that confer AD risk through their effects on brain protein abundance to provide new insights into AD pathogenesis. To that end, we integrated AD GWAS results with human brain proteomes to perform a proteome-wide association study (PWAS) of AD, followed by Mendelian randomization and colocalization analysis. We identified 11 genes that are consistent with being causal in AD, acting via their cis-regulated brain protein abundance. Nine replicated in a confirmation PWAS and eight represent new AD risk genes not identified before by AD GWAS. Furthermore, we demonstrated that our results were independent of APOE e4. Together, our findings provide new insights into AD pathogenesis and promising targets for further mechanistic and therapeutic studies.",Alzheimer’s disease
28,2021,bioRxiv,Single-nucleus transcriptome analysis reveals cell type-specific molecular signatures across reward circuitry in the human brain,https://doi.org/10.1101/2020.10.07.329839,"Single cell/nucleus technologies are powerful tools to study cell type-specific expression in the human brain, but most large-scale efforts have focused on characterizing cortical brain regions and their constituent cell types. However, additional brain regions - particularly those embedded in basal ganglia and limbic circuits - play important roles in neuropsychiatric disorders and addiction, suggesting a critical need to better understand their molecular characteristics. We therefore created a single-nucleus RNA-sequencing (snRNA-seq) resource across five human brain regions (hippocampus, HPC; dorsolateral prefrontal cortex, DLPFC; subgenual anterior cingulate cortex, sACC; nucleus accumbens, NAc; and amygdala, AMY), with emphasis on the NAc and AMY, given their involvement in reward signaling and emotional processing. We identified distinct and potentially novel neuronal subpopulations, which we validated by smFISH for various subclasses of NAc interneurons and medium spiny neurons (MSNs). We additionally benchmarked these datasets against published datasets for corresponding regions in rodent models to define cross-species convergence and divergence across analogous cell subclasses. We characterized the transcriptomic architecture of regionally-defined neuronal subpopulations, which revealed strong patterns of similarities in specific neuronal subclasses across the five profiled regions. Finally, we measured genetic associations between risk for psychiatric disease and substance use behaviors with each of the regionally-defined cell types. This analysis further supported NAc and AMY involvement in risk for psychiatric illness by implicating specific neuronal subpopulations, and highlighted potential involvement of an MSN population associated with stress signaling in genetic risk for substance use.",research on specific regions
29,2022,Cell Stem Cell,A single-cell transcriptome atlas of glial diversity in the human hippocampus across the postnatal lifespan,https://doi.org/10.1016/j.stem.2022.09.010,"The molecular diversity of glia in the human hippocampus and their temporal dynamics over the lifespan remain largely unknown. Here, we performed single-nucleus RNA sequencing to generate a transcriptome atlas of the human hippocampus across the postnatal lifespan. Detailed analyses of astrocytes, oligodendrocyte lineages, and microglia identified subpopulations with distinct molecular signatures and revealed their association with specific physiological functions, age-dependent changes in abundance, and disease relevance. We further characterized spatiotemporal heterogeneity of GFAP-enriched astrocyte subpopulations in the hippocampal formation using immunohistology. Leveraging glial subpopulation classifications as a reference map, we revealed the diversity of glia differentiated from human pluripotent stem cells and identified dysregulated genes and pathological processes in specific glial subpopulations in Alzheimer’s disease (AD). Together, our study significantly extends our understanding of human glial diversity, population dynamics across the postnatal lifespan, and dysregulation in AD and provides a reference atlas for stem-cell-based glial differentiation.",research on specific regions
30,2022,Acta Neuropathologica,Diverse human astrocyte and microglial transcriptional responses to Alzheimer's pathology,https://doi.org/10.1007/s00401-021-02372-6,"To better define roles that microglia and astrocytes play in Alzheimer’s disease (AD), we used single-nuclei RNA-sequencing to comprehensively characterize transcriptomes in these glial nuclei isolated post mortem from non-diseased control and neuropathologically-defined AD brains. Genes associated with AD risk were highly represented, especially in microglia. Transcriptome differences significantly correlated with immunohistochemical phospho-Tau (pTau) density included genetic risk genes for both microglia (APOE, BIN1, MS4A6A, PILRA) and astrocytes (APOE, CLU, MEF2C, IQCK). Pathways associated with the top differentially expressed genes in microglia included those related to proteostasis and immune modulation while those for astrocytes also included proteostasis, as well as stress response and metal ion homeostasis. Inferred regulons generated from co-expression networks implicated distinct transcriptional mechanisms associated with pTau for the two cell types. Data-driven sub-clustering revealed additional glial cellular heterogeneity. Our work provides a new resource, highlighting both potential causal mechanisms and protective glial responses in AD.",Alzheimer's disease
31,2022,Cell,Human prefrontal cortex gene regulatory dynamics from gestation to adulthood at single-cell resolution,https://doi.org/10.1016/j.cell.2022.09.039,"Human brain development is underpinned by cellular and molecular reconfigurations continuing into the third decade of life. To reveal cell dynamics orchestrating neural maturation, we profiled human prefrontal cortex gene expression and chromatin accessibility at single-cell resolution from gestation to adulthood. Integrative analyses define the dynamic trajectories of each cell type, revealing major gene expression reconfiguration at the prenatal-to-postnatal transition in all cell types followed by continuous reconfiguration into adulthood and identifying regulatory networks guiding cellular developmental programs, states, and functions. We uncover links between expression dynamics and developmental milestones, characterize the diverse timing of when cells acquire adult-like states, and identify molecular convergence from distinct developmental origins. We further reveal cellular dynamics and their regulators implicated in neurological disorders. Finally, using this reference, we benchmark cell identities and maturation states in organoid models. Together, this captures the dynamic regulatory landscape of human cortical development.",Development
32,2022,Neuron,Molecular signatures underlying neurofibrillary tangle susceptibility in Alzheimer’s disease,https://doi.org/10.1016/j.neuron.2022.06.021,"Tau aggregation in neurofibrillary tangles (NFTs) is closely associated with neurodegeneration and cognitive decline in Alzheimer’s disease (AD). However, the molecular signatures that distinguish between aggregation-prone and aggregation-resistant cell states are unknown. We developed methods for the high-throughput isolation and transcriptome profiling of single somas with NFTs fro¬m human AD brain, quantified the susceptibility of 20 neocortical subtypes for NFT formation and death, and identified both shared and cell-type-specific signatures. NFT-bearing neurons shared a marked upregulation of synaptic transmission-related genes, including a core set of 63 genes enriched for synaptic vesicle cycling. Oxidative phosphorylation and mitochondrial dysfunction were highly cell-type dependent. Apoptosis was only modestly enriched, and the susceptibilities of NFT-bearing and NFT-free neurons for death were highly similar. Our analysis suggests that NFTs represent cell-type-specific responses to stress and synaptic dysfunction. We provide a resource for biomarker discovery and the investigation of tau-dependent and tau-independent mechanisms of neurodegeneration.",Alzheimer’s disease
33,2022,Nature Neuroscience,Neurovascular dysfunction in GRN-associated frontotemporal dementia identified by single-nucleus RNA sequencing of human cerebral cortex,https://doi.org/10.1038/s41593-022-01124-3,"Frontotemporal dementia (FTD) is the second most prevalent form of early-onset dementia, affecting predominantly frontal and temporal cerebral lobes. Heterozygous mutations in the progranulin gene (GRN) cause autosomal-dominant FTD (FTD-GRN), associated with TDP-43 inclusions, neuronal loss, axonal degeneration and gliosis, but FTD-GRN pathogenesis is largely unresolved. Here we report single-nucleus RNA sequencing of microglia, astrocytes and the neurovasculature from frontal, temporal and occipital cortical tissue from control and FTD-GRN brains. We show that fibroblast and mesenchymal cell numbers were enriched in FTD-GRN, and we identified disease-associated subtypes of astrocytes and endothelial cells. Expression of gene modules associated with blood–brain barrier (BBB) dysfunction was significantly enriched in FTD-GRN endothelial cells. The vasculature supportive function and capillary coverage by pericytes was reduced in FTD-GRN tissue, with increased and hypertrophic vascularization and an enrichment of perivascular T cells. Our results indicate a perturbed BBB and suggest that the neurovascular unit is severely affected in FTD-GRN.",other
